"TALLER","CODIGO INTERNO","NOMBRE DE PRODUCTO","1 TAB","2 TIPO","3 ZONA","AREA","SUBAREA","LINK DE MANUAL","LINK DE VIDEO"
"Mecánica Automotriz","COM-205","Kit de Lienzo magnético para diseñar flujogramas de la producción (DOP y DAP)","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-04","Manual de uso por cada equipo de análisis y diseño de la propuesta de valor","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-05","Manual de mantenimiento por cada equipo de análisis y diseño de la propuesta de valor","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-06","Manual pedagógico para diseñar la propuesta de valor utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-465","USB con información de los manuales","Bien","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-506","Videos tutoriales del uso de los elevadores hidráulicos, grabado en USB.","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-487","Videos tutoriales del mantenimiento de sistema de suspensión, dirección, frenos","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-510","Videos tutoriales del uso pedagógico de módulos educativos de suspensión, dirección y frenos y modulo educativo de sistemas de frenos ABS TCS control de tracción, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-83","Manual de uso por cada equipo de mantenimiento del sistema de suspensión dirección y frenos","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-84","Manual de mantenimiento por cada equipo del sistema suspensión dirección y frenos","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-85","Manual pedagógico para desarrollar habilidades técnica para realizar mantenimiento de sistema de suspeción dirección y frenos de automóvil utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-511","Videos tutoriales del uso pedagógico del módulo educativo de simulación de transmisión de potencia, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-489","Videos tutoriales del mantenimiento sistema de transmisión de potencia, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-86","Manual de uso por cada equipo del sistema de transmisión de potencia","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-87","Manual de mantenimiento por cada equipo del sistema de transmisión de potencia","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-88","Manual pedagógico para desarrollar habilidades para realizar mantenimiento de sistema de transmisión utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-488","Videos tutoriales del mantenimiento del sistemas eléctrico electrónicos, sistema carga, arranque","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-509","Videos tutoriales del uso pedagógico de los sistemas de entrenamiento, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-89","Manual de uso por cada equipo para el mantenimiento del sistema eléctrico – electrónico","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-90","Manual de mantenimiento por cada equipo para el mantenimiento del sistema eléctrico – electrónico","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-91","Manual pedagógico para desarrollar habilidades para realizar mantenimiento de sistema eléctrico electrónico utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-486","Videos tutoriales del mantenimiento del motor gasolina y motor Diesel, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-508","Videos tutoriales del uso pedagógico de los sistemas de entrenamiento de mantenimiento de motores a gasolina y diesel, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","MAT-477","Videos con información visual de las partes de los sistemas y procesos de mantenimiento del automóvil, grabado en USB","Video","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-92","Manual de uso por cada equipo para el mantenimiento de motores Otto y diésel","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-93","Manual de mantenimiento por cada equipo para el mantenimiento de motores Otto y diésel","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","KEFF-94","Manual pedagógico para desarrollar habilidades técnicas para realizar mantenimiento de motores a gasolina y Diesel, utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Mecánica Automotriz","ESP-150","Elevador de columnas Hidráulic","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","TRANSMISIÓN, SUSPENSIÓN,DIRECCIÓN, FRENOS","",""
"Mecánica Automotriz","ESP-151","Elevador de tijera","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","SISTEMA ELÉCTRICO - ELECTRÓNICO","",""
"Mecánica Automotriz","ESP-131","Compresora de aire (50L - 3HP)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","MOTORES","",""
"Mecánica Automotriz","ESP-178","Gato hidráulico tipo lagarto","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MOB-111","Banco de trabajo con tornillo de banco (1800 x 900 x 850 mm.)","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","MECÁNICA","MECÁNICA DE BANCOS","",""
"Mecánica Automotriz","MOB-120","Lavadero de 1 Poza","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","MECÁNICA","","",""
"Mecánica Automotriz","ESP-307","Pluma hidráulica","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","MOTORES","",""
"Mecánica Automotriz","ESP-308","Prensa hidráulica","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","MECÁNICA DE BANCOS","",""
"Mecánica Automotriz","HER-149","Juego de llaves de ruedas(Llave de cruz.)","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-148","Juego de llaves de dado","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-127","Extractor de resortes (Compresor de resortes de suspensión)","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-151","Kit de llaves mixtas boca - corona","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-162-Y","Llave ajustable","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-165","Llave stillson","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-129","Extractor de Volante","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-167","Martillo de bola","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-135-X","Juego de alicates","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-102","Alicate de presión","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-126-Y","Calibrador digital","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-231-Y","Micrómetro digital","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-126","Extractor de palier","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-140-Y","Juego de destornilladores (6 destornilladores)","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-172-X","Goniómetro digital","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-218","Manómetro","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-233","Máquina de soldar multiproceso con carro de transporte","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-103","Amoladora","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MOB-105-Y","Armario de Metal (1.00 X 0.40 X 1.80m.)","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MOB-101","Anaquel de metal (1.00 X 0.40 X 1.80 m)","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-133","Carro porta herramientas","Bien","MOBILIARIO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-273","Módulo educativo de suspensión, dirección y frenos","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-274","Módulo educativo y simulador de sistema de frenos ABS y TCS control de tracción","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","MAT-429","Rotafolio de láminas con información visual de las partes y uso de las máquinas, herramientas e instrumentos para mantenimiento de vehículos, vinculadas mediante código QR a información digital","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-354-Y","Taladro de columna","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","MECÁNICA DE BANCOS","",""
"Mecánica Automotriz","COM-283","Kit de Reloj comparador","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-128","Juego de Extractor de rodajes","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-132","Juego de Gauge de láminas","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-180","Juego de brocas","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-160","Kit de Terrajas y machos en milímetros y pulgadas","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-184","Prensa C","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-271","Rayador","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-110-X","Arco de Sierra","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-134","Herramienta para remover resorte de freno","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-145-X","Juego de limas","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-157","Engrasadora","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-175-Y","Mazo de goma","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-268","Módulo educativo de simulación de transmisión de potencia","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-120","Cargador de batería","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-283-X","Multitester","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-290-Y","Pinza Amperimétrica","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-287-X","Osciloscopio digital","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-312","Probador de cables eléctricos","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-318","Punta Lógica automotor","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-119","Batería","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-147-Y","Cúter","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-140-Y","Juego de destornilladores (6 destornilladores)","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-271","Módulo educativo de sistema de luces","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-269","Módulo educativo de sistema carga y arranque","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-272","Módulo educativo de sistema eléctrico electrónico computarizado","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-160","Escaner universal automotriz","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-105","Analizador de gas de escape","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-286","Opacímetro","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-313","Probador de presión de combustible","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-314","Probadores de presión y vacío","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-132","Comprobadores de encendido","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-138","Compresímetro de anillos","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-275","Recolector de aceite","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-169","Extractor de válvulas (Compresor de muelles de válvulas universal tipo arco)","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-192","Juego de micrómetro de interiores","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-189","Juego de lapeadores de válvula","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-165","Estetoscopio de mecánico","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-146","Juego de llaves Allen","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-274","Recogedor magnético telescópico","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-201","Kit para desmontaje de sensores","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-302","Torquímetro","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-132-X","Cepillo de acero","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-181","Piqueta martillo cincel","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-102-Y","Aceitera","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-143","Juego de Dados para bujías","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","HER-152","Juego de llaves para filtros de aceite","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-352","Tacómetro","Bien","EQUIPOS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-113","Bandeja para recolectar aceite.","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","COM-155","Embudo de uso industrial","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-167","Galonera","Bien","HERRAMIENTAS","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","ESP-162","Esmeril de banco (con soporte)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","MECÁNICA","MECÁNICA DE BANCOS","",""
"Mecánica Automotriz","ESP-267","Módulo educativo de simulación de motor de gasolina (Entrenador educativo de motor de gasolina con inyección electrónica)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-264","Módulo de sistema educativo de motor diesel.(electrónico)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-270","Módulo educativo de sistema de encendido (electrónico)","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-266","Módulo educativo de montaje y desmontaje de motor de gasolina","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-265","Módulo de sistema Híbrido ECU HV","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","MOB-124","Mesa de apoyo","Bien","MOBILIARIO","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","ESP-206","Kit de motor de combustión interna V8 de material sintético, armable y desarmable","Bien","EQUIPOS","ZONA DE INNOVACIÓN","SIMULACION","","",""
"Mecánica Automotriz","MAT-231-Y","Lentes de protección de policarbonato","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-175","Guantes de mecánico","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-385","Máscara electrónica para soldar","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-180","Guantes para soldar","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-236","Mandil de serraje","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-237","Manga para soldar","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-152","Escarpines","Bien","SEGURIDAD","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","MAT-161","Extintor CO2","Bien","SEGURIDAD","ZONA DE INNOVACIÓN","SIMULACIÓN","","",""
"Mecánica Automotriz","MAT-163-X","Extintor PQS","Bien","SEGURIDAD","ZONA DE INNOVACIÓN","MECÁNICA","MOTORES","",""
"Mecánica Automotriz","MAT-123-X","Botiquín","Bien","SEGURIDAD","ZONA DE INNOVACIÓN","MECÁNICA","","",""
"Mecánica Automotriz","MAT-164-Y-7","Laminas en relieve de normas de seguridad y señalética de seguridad","Bien","PEDAGOGICO","ZONA DE INNOVACIÓN","","","",""
"Mecánica Automotriz","CAPA-AUTO","Taller de Capacitación presencial","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Mecánica Automotriz","USB-AUTO","USB con material para la capacitación","Bien","PEDAGOGICO","DEPÓSITO / ALMACÉN / SEGURIDAD","","","",""
"Industria del Vestido","TEC-107-X","Equipo de grabación para reportero","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-103","Cámara fotográfica","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-102-X","Cámara Filmadora con trípode","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","TEC-117","Tablet","Bien","EQUIPOS","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","KEFF-01","Manual de uso por cada equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","KEFF-02","Manual de mantenimiento por cada equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
"Industria del Vestido","KEFF-03","Manual pedagógico para identificar necesidades y problemas utilizando el equipo","Manual","PEDAGOGICO","ZONA DE INVESTIGACIÓN, GESTIÓN Y DISEÑO","","","",""
